"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"1412118","occ","","","101742","Gopherus polyphemus","species","55036","Blancan","","4.9","1.8","66358"
"1412119","occ","","","98315","Gopherus polyphemus","species","55036","Blancan","","4.9","1.8","66358"
"1412120","occ","","","20351","Gopherus polyphemus","species","55036","Irvingtonian","","1.8","0.3","66358"
"1412121","occ","","","26550","Gopherus polyphemus","species","55036","Irvingtonian","","1.8","0.3","66358"
"1412122","occ","","","20524","Gopherus polyphemus","species","55036","Irvingtonian","","1.8","0.3","66358"
"1412123","occ","","","20594","Gopherus polyphemus","species","55036","Late Pleistocene","","0.126","0.0117","66358"
"1412134","occ","","","20398","Gopherus polyphemus","species","55036","Rancholabrean","","0.3","0.012","66358"
"1412135","occ","","","164396","Gopherus polyphemus","species","55036","Late Pleistocene","","0.126","0.0117","66358"
"1412137","occ","","","77590","Gopherus polyphemus","species","55036","Pleistocene","","2.588","0.0117","66358"
"1412138","occ","","","122303","Gopherus polyphemus","species","55036","Holocene","","0.0117","0","66358"
"1412139","occ","","","100344","Gopherus polyphemus","species","55036","Holocene","","0.0117","0","66358"
"1412140","occ","","","100349","Gopherus polyphemus","species","55036","Holocene","","0.0117","0","66358"
"1412141","occ","","","100347","Gopherus polyphemus","species","55036","Holocene","","0.0117","0","66358"
"1412142","occ","","","100346","Gopherus polyphemus","species","55036","Holocene","","0.0117","0","66358"
"1412242","occ","","","20289","Gopherus polyphemus","species","55036","Irvingtonian","","1.8","0.3","66358"
"1412246","occ","","","195110","Gopherus polyphemus","species","55036","Late Pleistocene","","0.126","0.0117","66358"
"1412247","occ","","","195111","Gopherus polyphemus","species","55036","Late Pleistocene","","0.126","0.0117","66358"
"1412248","occ","","","195112","Gopherus polyphemus","species","55036","Rancholabrean","","0.3","0.012","66358"
"1412249","occ","","","195113","Gopherus polyphemus","species","55036","Rancholabrean","","0.3","0.012","66358"
"1413033","occ","","","195221","Chersine hermanni","species","94333","Middle Pleistocene","","0.781","0.126","66368"
